09:51:33 - SSVEP 10 Hz - Baseline Testing (scalp eeg only, no endo electrodes placed)
09:52:56 - SSVEP 40 Hz - Baseline Testing (scalp eeg only, no endo electrodes placed)
09:54:16 - SSVEP 50 Hz - Baseline Testing (scalp eeg only, no endo electrodes placed)
09:55:56 - VEP 3min - Baseline Testing (scalp eeg only, no endo electrodes placed)
10:03:05 - SSAEP 12 Hz - BAD TRIAL - NO DIGITAL IN - Baseline Testing (scalp eeg only, no endo electrodes placed)
10:04:26 - SSAEP 42 Hz - BAD TRIAL - NO DIGITAL IN - Baseline Testing (scalp eeg only, no endo electrodes placed)
10:05:55 - SSAEP 12 Hz - Baseline Testing (scalp eeg only, no endo electrodes placed)
10:07:25 - SSAEP 42 Hz - Baseline Testing (scalp eeg only, no endo electrodes placed)
10:08:48 - SSAEP 86 Hz - Baseline Testing (scalp eeg only, no endo electrodes placed)
10:10:23 - BAEP 4min - Baseline Testing (scalp eeg only, no endo electrodes placed)
11:13:41 - SSVEP 10 Hz, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Navigated catheter to basilar tip
11:14:51 - SSVEP 40 Hz, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Navigated catheter to basilar tip
11:16:01 - SSVEP 50 Hz, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Navigated catheter to basilar tip
11:17:10 - VEP, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Navigated catheter to basilar tip
11:21:50 - SSVEP 10 Hz, live-animal-control, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Live-Animal Control
11:23:01 - SSVEP 40 Hz, live-animal-control, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Live-Animal Control
11:24:15 - SSVEP 50 Hz, live-animal-control, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Live-Animal Control
11:25:22 - VEP, live-animal-control, electrode = X-pedion-10 @ catheter tip, position = basilar tip- Live-Animal Control
11:31:23 - SSAEP 12 Hz, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip
11:36:06 - SSAEP 42 Hz, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip
11:37:22 - SSAEP 86 Hz, experiment, electrode = X-pedion-10 @ catheter tip, position = basilar tip
